"IPR","gene","description"
"IPR011009","EfaB_MINUS_8664.g850","Protein kinase-like domain"
"IPR011009","EfaB_MINUS_49504.g2820","Protein kinase-like domain"
"IPR011009","EfaB_PLUS_228.g25","Protein kinase-like domain"
"IPR011009","EfaB_MINUS_23143.g1989","Protein kinase-like domain"
"IPR011009","EfaB_MINUS_10358.g921","Protein kinase-like domain"
"IPR011009","EfaB_MINUS_20371.g1786","Protein kinase-like domain"
"IPR011009","EfaB_PLUS_40637.g2577","Protein kinase-like domain"
"IPR011009","EfaB_PLUS_6929.g645","Protein kinase-like domain"
"IPR011009","EfaB_PLUS_33184.g2393","Protein kinase-like domain"
"IPR011009","EfaB_MINUS_6743.g613","Protein kinase-like domain"
"IPR011009","EfaB_PLUS_42996.g2610","Protein kinase-like domain"
"IPR011009","EfaB_PLUS_32574.g2348","Protein kinase-like domain"
"IPR011009","EfaB_PLUS_13398.g1168","Protein kinase-like domain"
"IPR011009","EfaB_MINUS_1307.g177","Protein kinase-like domain"
"IPR011009","EfaB_PLUS_2387.g275","Protein kinase-like domain"
"IPR011009","EfaB_MINUS_20371.g1767","Protein kinase-like domain"
"IPR011009","EfaB_PLUS_1307.g160","Protein kinase-like domain"
"IPR011009","EfaB_MINUS_43533.g2729","Protein kinase-like domain"
"IPR011009","EfaB_MINUS_21549.g1857","Protein kinase-like domain"
"IPR011009","EfaB_PLUS_33184.g2391","Protein kinase-like domain"
"IPR011009","EfaB_PLUS_25458.g2096","Protein kinase-like domain"
"IPR011009","EfaB_MINUS_17195.g1548","Protein kinase-like domain"
"IPR011009","EfaB_PLUS_38343.g2523","Protein kinase-like domain"
"IPR011009","EfaB_PLUS_15899.g1394","Protein kinase-like domain"
"IPR011009","EfaB_MINUS_16916.g1507","Protein kinase-like domain"
"IPR011009","EfaB_PLUS_14978.g1228","Protein kinase-like domain"
"IPR011009","EfaB_PLUS_28105.g2229","Protein kinase-like domain"
"IPR011009","EfaB_MINUS_1974.g220","Protein kinase-like domain"
"IPR011009","EfaB_PLUS_13227.g1128","Protein kinase-like domain"
"IPR011009","EfaB_PLUS_20412.g1698","Protein kinase-like domain"
"IPR011009","EfaB_PLUS_15899.g1411","Protein kinase-like domain"
"IPR011009","EfaB_MINUS_5792.g518","Protein kinase-like domain"
"IPR011009","EfaB_PLUS_30201.g2257","Protein kinase-like domain"
"IPR011009","EfaB_MINUS_15724.g1415","Protein kinase-like domain"
"IPR011009","EfaB_MINUS_13222.g1123","Protein kinase-like domain"
"IPR011009","EfaB_MINUS_33184.g2485","Protein kinase-like domain"
"IPR011009","EfaB_PLUS_8664.g829","Protein kinase-like domain"
"IPR011009","EfaB_PLUS_228.g29","Protein kinase-like domain"
"IPR011009","EfaB_PLUS_9917.g890","Protein kinase-like domain"
"IPR011009","EfaB_PLUS_21549.g1767","Protein kinase-like domain"
"IPR011009","EfaB_PLUS_2387.g289","Protein kinase-like domain"
"IPR011009","EfaB_MINUS_11280.g995","Protein kinase-like domain"
"IPR011009","EfaB_PLUS_3973.g398","Protein kinase-like domain"
"IPR011009","EfaB_MINUS_228.g8","Protein kinase-like domain"
"IPR011009","EfaB_MINUS_33184.g2491","Protein kinase-like domain"
"IPR011009","EfaB_PLUS_7048.g689","Protein kinase-like domain"
"IPR011009","EfaB_MINUS_18587.g1661","Protein kinase-like domain"
"IPR011009","EfaB_MINUS_4714.g431","Protein kinase-like domain"
"IPR011009","EfaB_PLUS_720.g56","Protein kinase-like domain"
"IPR011009","EfaB_MINUS_58361.g2994","Protein kinase-like domain"
"IPR011009","EfaB_MINUS_800.g85","Protein kinase-like domain"
"IPR011009","EfaB_PLUS_47595.g2679","Protein kinase-like domain"
"IPR011009","EfaB_PLUS_3469.g365","Protein kinase-like domain"
"IPR011009","EfaB_PLUS_19717.g1620","Protein kinase-like domain"
"IPR011009","EfaB_PLUS_11789.g1014","Protein kinase-like domain"
"IPR011009","EfaB_PLUS_7742.g778","Protein kinase-like domain"
"IPR011009","EfaB_MINUS_5788.g504","Protein kinase-like domain"
"IPR011009","EfaB_MINUS_42416.g2684","Protein kinase-like domain"
"IPR011009","EfaB_PLUS_2387.g299","Protein kinase-like domain"
"IPR011009","EfaB_PLUS_23210.g1943","Protein kinase-like domain"
"IPR011009","EfaB_MINUS_228.g6","Protein kinase-like domain"
"IPR011009","EfaB_MINUS_11124.g969","Protein kinase-like domain"
"IPR011009","EfaB_PLUS_15745.g1365","Protein kinase-like domain"
"IPR011009","EfaB_PLUS_12367.g1063","Protein kinase-like domain"
"IPR011009","EfaB_MINUS_11882.g1053","Protein kinase-like domain"
"IPR011009","EfaB_MINUS_22284.g1900","Protein kinase-like domain"
"IPR011010","EfaB_PLUS_5727.g504","DNA breaking-rejoining enzyme, catalytic core"
"IPR011010","EfaB_MINUS_42416.g2696","DNA breaking-rejoining enzyme, catalytic core"
"IPR011011","EfaB_MINUS_31151.g2364","Zinc finger, FYVE/PHD-type"
"IPR011011","EfaB_PLUS_34204.g2477","Zinc finger, FYVE/PHD-type"
"IPR011011","EfaB_MINUS_15745.g1430","Zinc finger, FYVE/PHD-type"
"IPR011011","EfaB_MINUS_20371.g1782","Zinc finger, FYVE/PHD-type"
"IPR011011","EfaB_MINUS_7742.g803","Zinc finger, FYVE/PHD-type"
"IPR011011","EfaB_MINUS_6035.g559","Zinc finger, FYVE/PHD-type"
"IPR011011","EfaB_MINUS_7742.g786","Zinc finger, FYVE/PHD-type"
"IPR011011","EfaB_PLUS_23143.g1923","Zinc finger, FYVE/PHD-type"
"IPR011011","EfaB_MINUS_47595.g2791","Zinc finger, FYVE/PHD-type"
"IPR011011","EfaB_PLUS_11414.g993","Zinc finger, FYVE/PHD-type"
"IPR011011","EfaB_PLUS_56725.g2788","Zinc finger, FYVE/PHD-type"
"IPR011011","EfaB_MINUS_7742.g807","Zinc finger, FYVE/PHD-type"
"IPR011011","EfaB_MINUS_13227.g1165","Zinc finger, FYVE/PHD-type"
"IPR011011","EfaB_PLUS_58361.g2870","Zinc finger, FYVE/PHD-type"
"IPR011011","EfaB_PLUS_39892.g2555","Zinc finger, FYVE/PHD-type"
"IPR011011","EfaB_PLUS_20371.g1669","Zinc finger, FYVE/PHD-type"
"IPR011012","EfaB_MINUS_33184.g2490","Longin-like domain"
"IPR011012","EfaB_PLUS_15648.g1325","Longin-like domain"
"IPR011012","EfaB_MINUS_10331.g917","Longin-like domain"
"IPR011012","EfaB_PLUS_36188.g2495","Longin-like domain"
"IPR011012","EfaB_MINUS_34010.g2558","Longin-like domain"
"IPR011012","EfaB_PLUS_15576.g1291","Longin-like domain"
"IPR011012","EfaB_MINUS_22450.g1914","Longin-like domain"
"IPR011012","EfaB_MINUS_37748.g2606","Longin-like domain"
"IPR011012","EfaB_MINUS_13227.g1179","Longin-like domain"
"IPR011012","EfaB_MINUS_31498.g2401","Longin-like domain"
"IPR011012","EfaB_MINUS_20371.g1792","Longin-like domain"
"IPR011012","EfaB_PLUS_15648.g1316","Longin-like domain"
"IPR011012","EfaB_PLUS_13222.g1100","Longin-like domain"
"IPR011016","EfaB_PLUS_37748.g2513","Zinc finger, RING-CH-type"
"IPR011016","EfaB_MINUS_15697.g1410","Zinc finger, RING-CH-type"
"IPR011016","EfaB_MINUS_39892.g2637","Zinc finger, RING-CH-type"
"IPR011016","EfaB_MINUS_3833.g376","Zinc finger, RING-CH-type"
"IPR011017","EfaB_PLUS_28105.g2216","TRASH"
"IPR011021","EfaB_PLUS_34010.g2444","Arrestin-like, N-terminal"
"IPR011022","EfaB_PLUS_34010.g2444","Arrestin C-terminal-like domain"
"IPR011023","EfaB_MINUS_17195.g1549","Nop2p"
"IPR011032","EfaB_MINUS_800.g86","GroES-like"
"IPR011032","EfaB_MINUS_5670.g473","GroES-like"
"IPR011032","EfaB_MINUS_8664.g834","GroES-like"
"IPR011032","EfaB_MINUS_43533.g2732","GroES-like"
"IPR011032","EfaB_MINUS_50714.g2850","GroES-like"
"IPR011032","EfaB_PLUS_17907.g1576","GroES-like"
"IPR011035","EfaB_PLUS_26415.g2149","Ribosomal protein L25/Gln-tRNA synthetase, anti-codon-binding domain"
"IPR011035","EfaB_PLUS_34010.g2445","Ribosomal protein L25/Gln-tRNA synthetase, anti-codon-binding domain"
"IPR011035","EfaB_PLUS_24117.g1988","Ribosomal protein L25/Gln-tRNA synthetase, anti-codon-binding domain"
"IPR011037","EfaB_PLUS_13227.g1156","Pyruvate kinase-like, insert domain"
"IPR011037","EfaB_MINUS_37748.g2604","Pyruvate kinase-like, insert domain"
"IPR011038","EfaB_PLUS_26831.g2181","Calycin-like"
"IPR011042","EfaB_MINUS_38801.g2634","Six-bladed beta-propeller, TolB-like"
"IPR011042","EfaB_MINUS_1974.g224","Six-bladed beta-propeller, TolB-like"
"IPR011042","EfaB_PLUS_49504.g2699","Six-bladed beta-propeller, TolB-like"
"IPR011042","EfaB_MINUS_24701.g2101","Six-bladed beta-propeller, TolB-like"
"IPR011042","EfaB_MINUS_34010.g2530","Six-bladed beta-propeller, TolB-like"
"IPR011043","EfaB_MINUS_15349.g1289","Galactose oxidase/kelch, beta-propeller"
"IPR011043","EfaB_MINUS_5654.g470","Galactose oxidase/kelch, beta-propeller"
"IPR011043","EfaB_PLUS_5792.g556","Galactose oxidase/kelch, beta-propeller"
"IPR011043","EfaB_MINUS_8664.g855","Galactose oxidase/kelch, beta-propeller"
"IPR011044","EfaB_PLUS_1974.g219","Quinoprotein amine dehydrogenase, beta chain-like"
"IPR011044","EfaB_MINUS_26136.g2220","Quinoprotein amine dehydrogenase, beta chain-like"
"IPR011047","EfaB_MINUS_11214.g983","Quinonprotein alcohol dehydrogenase-like"
"IPR011047","EfaB_MINUS_11882.g1046","Quinonprotein alcohol dehydrogenase-like"
"IPR011047","EfaB_MINUS_37748.g2601","Quinonprotein alcohol dehydrogenase-like"
"IPR011047","EfaB_MINUS_26136.g2220","Quinonprotein alcohol dehydrogenase-like"
"IPR011047","EfaB_PLUS_7048.g700","Quinonprotein alcohol dehydrogenase-like"
"IPR011047","EfaB_MINUS_23210.g2031","Quinonprotein alcohol dehydrogenase-like"
"IPR011051","EfaB_MINUS_2387.g303","RmlC-like cupin domain"
"IPR011051","EfaB_MINUS_1048.g121","RmlC-like cupin domain"
"IPR011053","EfaB_PLUS_15899.g1412","Single hybrid motif"
"IPR011053","EfaB_MINUS_25398.g2165","Single hybrid motif"
"IPR011053","EfaB_MINUS_1001.g116","Single hybrid motif"
"IPR011053","EfaB_PLUS_24117.g1980","Single hybrid motif"
"IPR011053","EfaB_PLUS_33184.g2397","Single hybrid motif"
"IPR011053","EfaB_PLUS_31498.g2325","Single hybrid motif"
"IPR011053","EfaB_PLUS_56725.g2791","Single hybrid motif"
"IPR011054","EfaB_PLUS_24117.g1980","Rudiment single hybrid motif"
"IPR011056","EfaB_PLUS_14978.g1245","Peptidase S24/S26A/S26B/S26C, beta-ribbon domain"
"IPR011056","EfaB_MINUS_33854.g2512","Peptidase S24/S26A/S26B/S26C, beta-ribbon domain"
"IPR011057","EfaB_MINUS_23210.g2025","Mss4-like"
"IPR011057","EfaB_PLUS_25177.g2066","Mss4-like"
"IPR011060","EfaB_MINUS_17400.g1571","Ribulose-phosphate binding barrel"
"IPR011060","EfaB_MINUS_43533.g2746","Ribulose-phosphate binding barrel"
"IPR011060","EfaB_MINUS_11882.g1040","Ribulose-phosphate binding barrel"
"IPR011060","EfaB_MINUS_22284.g1910","Ribulose-phosphate binding barrel"
"IPR011063","EfaB_MINUS_24117.g2094","tRNA(Ile)-lysidine/2-thiocytidine synthase"
"IPR011063","EfaB_PLUS_19717.g1621","tRNA(Ile)-lysidine/2-thiocytidine synthase"
"IPR011068","EfaB_PLUS_11882.g1023","Nucleotidyltransferase, class I, C-terminal-like"
"IPR011074","EfaB_PLUS_15648.g1342","CRAL/TRIO, N-terminal domain"
"IPR011074","EfaB_PLUS_21840.g1785","CRAL/TRIO, N-terminal domain"
"IPR011074","EfaB_MINUS_12281.g1069","CRAL/TRIO, N-terminal domain"
"IPR011074","EfaB_PLUS_1700.g190","CRAL/TRIO, N-terminal domain"
"IPR011074","EfaB_MINUS_8675.g867","CRAL/TRIO, N-terminal domain"
"IPR011078","EfaB_MINUS_7742.g757","Uncharacterised protein family UPF0001"
"IPR011084","EfaB_MINUS_34010.g2554","DNA repair metallo-beta-lactamase"
"IPR011108","EfaB_PLUS_10358.g903","RNA-metabolising metallo-beta-lactamase"
"IPR011108","EfaB_MINUS_5792.g526","RNA-metabolising metallo-beta-lactamase"
"IPR011124","EfaB_PLUS_10331.g900","Zinc finger, CW-type"
"IPR011124","EfaB_MINUS_7900.g823","Zinc finger, CW-type"
"IPR011128","EfaB_PLUS_18869.g1591","Glycerol-3-phosphate dehydrogenase, NAD-dependent, N-terminal"
"IPR011129","EfaB_PLUS_17907.g1543","Cold shock protein"
"IPR011146","EfaB_PLUS_2387.g272","HIT-like domain"
"IPR011146","EfaB_PLUS_18869.g1596","HIT-like domain"
"IPR011146","EfaB_PLUS_6929.g644","HIT-like domain"
"IPR011167","EfaB_PLUS_3469.g371","Iron-dependent fumarate hydratase"
"IPR011183","EfaB_PLUS_15724.g1357","Pyrophosphate-dependent phosphofructokinase PfpB"
"IPR011183","EfaB_MINUS_25019.g2112","Pyrophosphate-dependent phosphofructokinase PfpB"
"IPR011236","EfaB_PLUS_23210.g1936","Serine/threonine protein phosphatase 5"
"IPR011237","EfaB_PLUS_15697.g1350","Peptidase M16, core"
"IPR011237","EfaB_MINUS_53301.g2885","Peptidase M16, core"
"IPR011237","EfaB_PLUS_24117.g1977","Peptidase M16, core"
"IPR011237","EfaB_MINUS_15697.g1405","Peptidase M16, core"
"IPR011237","EfaB_PLUS_21840.g1792","Peptidase M16, core"
"IPR011237","EfaB_PLUS_53301.g2783","Peptidase M16, core"
"IPR011237","EfaB_PLUS_20371.g1671","Peptidase M16, core"
"IPR011237","EfaB_PLUS_20412.g1740","Peptidase M16, core"
"IPR011237","EfaB_MINUS_7742.g769","Peptidase M16, core"
"IPR011237","EfaB_MINUS_11414.g1026","Peptidase M16, core"
"IPR011249","EfaB_PLUS_1001.g103","Metalloenzyme, LuxS/M16 peptidase-like, metal-binding"
"IPR011249","EfaB_PLUS_20412.g1740","Metalloenzyme, LuxS/M16 peptidase-like, metal-binding"
"IPR011249","EfaB_PLUS_53301.g2783","Metalloenzyme, LuxS/M16 peptidase-like, metal-binding"
"IPR011249","EfaB_PLUS_20371.g1671","Metalloenzyme, LuxS/M16 peptidase-like, metal-binding"
"IPR011249","EfaB_PLUS_15697.g1350","Metalloenzyme, LuxS/M16 peptidase-like, metal-binding"
"IPR011249","EfaB_MINUS_7742.g769","Metalloenzyme, LuxS/M16 peptidase-like, metal-binding"
"IPR011249","EfaB_MINUS_11414.g1026","Metalloenzyme, LuxS/M16 peptidase-like, metal-binding"
"IPR011249","EfaB_MINUS_53301.g2885","Metalloenzyme, LuxS/M16 peptidase-like, metal-binding"
"IPR011249","EfaB_PLUS_24117.g1977","Metalloenzyme, LuxS/M16 peptidase-like, metal-binding"
"IPR011249","EfaB_MINUS_15697.g1405","Metalloenzyme, LuxS/M16 peptidase-like, metal-binding"
"IPR011249","EfaB_MINUS_15697.g1404","Metalloenzyme, LuxS/M16 peptidase-like, metal-binding"
"IPR011249","EfaB_PLUS_21840.g1792","Metalloenzyme, LuxS/M16 peptidase-like, metal-binding"
"IPR011256","EfaB_PLUS_12324.g1060","Regulatory factor, effector, bacterial"
"IPR011257","EfaB_MINUS_17702.g1587","DNA glycosylase"
"IPR011257","EfaB_PLUS_18869.g1589","DNA glycosylase"
"IPR011261","EfaB_MINUS_39892.g2654","DNA-directed RNA polymerase, dimerisation"
"IPR011261","EfaB_PLUS_17702.g1521","DNA-directed RNA polymerase, dimerisation"
"IPR011262","EfaB_MINUS_39892.g2654","DNA-directed RNA polymerase, insert domain"
"IPR011262","EfaB_PLUS_13222.g1096","DNA-directed RNA polymerase, insert domain"
"IPR011262","EfaB_PLUS_17702.g1521","DNA-directed RNA polymerase, insert domain"
"IPR011263","EfaB_MINUS_39892.g2654","DNA-directed RNA polymerase, RpoA/D/Rpb3-type"
"IPR011275","EfaB_PLUS_17096.g1473","Malate dehydrogenase, type 3"
"IPR011275","EfaB_MINUS_16742.g1482","Malate dehydrogenase, type 3"
"IPR011284","EfaB_MINUS_37748.g2604","3-oxoacyl-(acyl-carrier-protein) reductase"
"IPR011323","EfaB_PLUS_25177.g2066","Mss4/translationally controlled tumour-associated TCTP"
"IPR011331","EfaB_PLUS_20437.g1755","Ribosomal protein L37ae/L37e, N-terminal"
"IPR011331","EfaB_MINUS_5788.g498","Ribosomal protein L37ae/L37e, N-terminal"
"IPR011332","EfaB_MINUS_5788.g498","Ribosomal protein, zinc-binding domain"
"IPR011332","EfaB_PLUS_23272.g1959","Ribosomal protein, zinc-binding domain"
"IPR011332","EfaB_PLUS_13227.g1132","Ribosomal protein, zinc-binding domain"
"IPR011332","EfaB_PLUS_20437.g1755","Ribosomal protein, zinc-binding domain"
"IPR011332","EfaB_MINUS_25458.g2197","Ribosomal protein, zinc-binding domain"
"IPR011333","EfaB_MINUS_1001.g109","BTB/POZ fold"
"IPR011333","EfaB_PLUS_17150.g1486","BTB/POZ fold"
"IPR011333","EfaB_PLUS_22960.g1905","BTB/POZ fold"
"IPR011333","EfaB_PLUS_22450.g1841","BTB/POZ fold"
"IPR011333","EfaB_MINUS_1068.g144","BTB/POZ fold"
"IPR011333","EfaB_MINUS_4714.g428","BTB/POZ fold"
"IPR011333","EfaB_MINUS_11414.g1021","BTB/POZ fold"
"IPR011333","EfaB_PLUS_11414.g984","BTB/POZ fold"
"IPR011333","EfaB_MINUS_15349.g1289","BTB/POZ fold"
"IPR011335","EfaB_MINUS_5792.g543","Restriction endonuclease  type II--like"
"IPR011335","EfaB_MINUS_43533.g2734","Restriction endonuclease  type II--like"
"IPR011335","EfaB_PLUS_17096.g1463","Restriction endonuclease  type II--like"
"IPR011339","EfaB_PLUS_56725.g2831","ISC system FeS cluster assembly, IscU scaffold"
"IPR011344","EfaB_PLUS_3881.g392","Single-strand DNA-binding"
"IPR011356","EfaB_PLUS_15745.g1371","Peptidase M17"
"IPR011400","EfaB_MINUS_24117.g2056","Translation initiation factor eIF-3b"
"IPR011421","EfaB_PLUS_40637.g2578","Craniofacial development protein 1/Bucentaur"
"IPR011430","EfaB_PLUS_7048.g698","Down-regulated-in-metastasis protein"
"IPR011442","EfaB_MINUS_38343.g2622","Domain of unknown function DUF1546"
"IPR011488","EfaB_MINUS_15648.g1368","Translation initiation factor 2, alpha subunit"
"IPR011497","EfaB_MINUS_23143.g1981","Kazal-type serine protease inhibitor domain"
"IPR011497","EfaB_MINUS_56725.g2979","Kazal-type serine protease inhibitor domain"
"IPR011498","EfaB_PLUS_5792.g556","Kelch repeat type 2"
"IPR011514","EfaB_MINUS_30201.g2344","Secretin, N-terminal"
"IPR011527","EfaB_MINUS_14978.g1255","ABC transporter, transmembrane domain, type 1"
"IPR011527","EfaB_MINUS_14978.g1254","ABC transporter, transmembrane domain, type 1"
"IPR011527","EfaB_MINUS_34010.g2524","ABC transporter, transmembrane domain, type 1"
"IPR011527","EfaB_PLUS_5788.g531","ABC transporter, transmembrane domain, type 1"
"IPR011527","EfaB_PLUS_12065.g1046","ABC transporter, transmembrane domain, type 1"
"IPR011527","EfaB_MINUS_26415.g2252","ABC transporter, transmembrane domain, type 1"
"IPR011527","EfaB_MINUS_49504.g2817","ABC transporter, transmembrane domain, type 1"
"IPR011527","EfaB_PLUS_8664.g845","ABC transporter, transmembrane domain, type 1"
"IPR011527","EfaB_MINUS_13222.g1145","ABC transporter, transmembrane domain, type 1"
"IPR011527","EfaB_PLUS_31746.g2330","ABC transporter, transmembrane domain, type 1"
"IPR011545","EfaB_MINUS_12534.g1103","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_PLUS_14978.g1235","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_PLUS_2336.g256","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_PLUS_28105.g2229","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_MINUS_22450.g1925","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_PLUS_8675.g857","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_PLUS_21840.g1791","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_MINUS_7742.g783","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_MINUS_33854.g2516","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_MINUS_8664.g858","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_MINUS_12065.g1057","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_PLUS_15576.g1285","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_MINUS_25458.g2190","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_MINUS_14978.g1245","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_PLUS_5792.g566","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_MINUS_22284.g1904","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_MINUS_17096.g1531","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_PLUS_25398.g2084","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_MINUS_7742.g759","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_MINUS_7742.g748","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_MINUS_7715.g725","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_MINUS_36188.g2579","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_MINUS_56725.g2980","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_PLUS_20412.g1721","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_PLUS_1425.g168","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_MINUS_15899.g1470","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_PLUS_1307.g161","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_MINUS_6072.g567","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_PLUS_33184.g2386","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_PLUS_24117.g1970","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_MINUS_5727.g484","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_PLUS_4114.g416","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_PLUS_15697.g1347","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_MINUS_17195.g1545","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_PLUS_31151.g2283","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_PLUS_3469.g357","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_MINUS_15765.g1440","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_MINUS_22732.g1964","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_MINUS_12420.g1098","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_PLUS_12534.g1080","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_PLUS_50054.g2720","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_MINUS_42996.g2709","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_MINUS_20371.g1750","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_PLUS_31498.g2321","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_PLUS_56725.g2804","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_PLUS_21840.g1799","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_PLUS_13227.g1141","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_MINUS_926.g106","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011545","EfaB_PLUS_6253.g590","DNA/RNA helicase, DEAD/DEAH box type, N-terminal"
"IPR011547","EfaB_PLUS_4475.g432","Sulphate transporter"
"IPR011547","EfaB_PLUS_52892.g2766","Sulphate transporter"
"IPR011555","EfaB_MINUS_5788.g508","ATPase, V0 complex, proteolipid subunit C, eukaryotic"
"IPR011598","EfaB_PLUS_1425.g180","Helix-loop-helix DNA-binding"
"IPR011599","EfaB_MINUS_16835.g1502","Prefoldin alpha subunit"
"IPR011600","EfaB_MINUS_1068.g141","Peptidase C14, caspase catalytic"
"IPR011600","EfaB_MINUS_20371.g1775","Peptidase C14, caspase catalytic"
"IPR011600","EfaB_PLUS_15765.g1387","Peptidase C14, caspase catalytic"
"IPR011603","EfaB_MINUS_14053.g1228","2-oxoglutarate dehydrogenase, E1 component"
"IPR011607","EfaB_PLUS_17901.g1531","Methylglyoxal synthase-like domain"
"IPR011611","EfaB_PLUS_22450.g1856","PfkB"
"IPR011614","EfaB_MINUS_17400.g1576","Catalase core domain"
"IPR011641","EfaB_MINUS_49504.g2828","Tyrosine-protein kinase ephrin type A/B receptor-like"
"IPR011641","EfaB_PLUS_52892.g2741","Tyrosine-protein kinase ephrin type A/B receptor-like"
"IPR011641","EfaB_MINUS_23210.g2033","Tyrosine-protein kinase ephrin type A/B receptor-like"
"IPR011650","EfaB_MINUS_17907.g1624","Peptidase M20, dimerisation"
"IPR011650","EfaB_MINUS_21549.g1866","Peptidase M20, dimerisation"
"IPR011658","EfaB_PLUS_13222.g1124","PA14"
"IPR011658","EfaB_MINUS_7742.g799","PA14"
"IPR011658","EfaB_MINUS_5788.g510","PA14"
"IPR011665","EfaB_PLUS_34010.g2434","Brf1-like TBP-binding"
"IPR011678","EfaB_MINUS_11214.g983","Domain of unknown function DUF1620"
"IPR011685","EfaB_PLUS_7742.g750","LETM1-like"
"IPR011687","EfaB_PLUS_2601.g322","P60-like"
"IPR011697","EfaB_PLUS_8675.g859","Peptidase C26"
"IPR011701","EfaB_MINUS_800.g89","Major facilitator superfamily"
"IPR011701","EfaB_MINUS_33184.g2489","Major facilitator superfamily"
"IPR011701","EfaB_PLUS_18749.g1586","Major facilitator superfamily"
"IPR011701","EfaB_MINUS_17096.g1510","Major facilitator superfamily"
"IPR011701","EfaB_MINUS_4849.g440","Major facilitator superfamily"
"IPR011701","EfaB_PLUS_15697.g1352","Major facilitator superfamily"
"IPR011701","EfaB_MINUS_6929.g628","Major facilitator superfamily"
"IPR011701","EfaB_PLUS_34204.g2472","Major facilitator superfamily"
"IPR011701","EfaB_PLUS_497.g45","Major facilitator superfamily"
"IPR011701","EfaB_PLUS_34010.g2449","Major facilitator superfamily"
"IPR011701","EfaB_PLUS_7900.g810","Major facilitator superfamily"
"IPR011701","EfaB_MINUS_17901.g1593","Major facilitator superfamily"
