Mouse Gene Identifier,Mouse Gene Product Description,Plasmodium Gene Indentifier,Plasmodium Gene Product Description,Interaction Type
ENSMUSG00000023852,chromodomain helicase DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:88393],PBANKA_103540,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000073007,"family with sequence similarity 46, member D [Source:MGI Symbol;Acc:MGI:2685223]",PBANKA_103710,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000023931,"EF hand domain family, member B [Source:MGI Symbol;Acc:MGI:3045296]",PBANKA_103890,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000023931,"EF hand domain family, member B [Source:MGI Symbol;Acc:MGI:3045296]",PBANKA_103960,"proteosome subunit, putative",ISIGEM
ENSMUSG00000068739,seryl-aminoacyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:102809],PBANKA_110360,"cation transporting P-ATPase, putative",ISIGEM
ENSMUSG00000054589,predicted gene 9949 [Source:MGI Symbol;Acc:MGI:3647947],PBANKA_110460,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000054589,predicted gene 9949 [Source:MGI Symbol;Acc:MGI:3647947],PBANKA_110470,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000004842,"POU domain, class 1, transcription factor 1 [Source:MGI Symbol;Acc:MGI:97588]",PBANKA_110530,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000070546,"MAS-related GPR, member B3 [Source:MGI Symbol;Acc:MGI:3033117]",PBANKA_110530,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000066241,olfactory receptor 514 [Source:MGI Symbol;Acc:MGI:3030348],PBANKA_110590,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000001285,melanocyte proliferating gene 1 [Source:MGI Symbol;Acc:MGI:1929864],PBANKA_110650,"rhomboid protease, putative",ISIGEM
ENSMUSG00000054589,predicted gene 9949 [Source:MGI Symbol;Acc:MGI:3647947],PBANKA_110710,"subtilisin-like protease 1, putative",ISIGEM
ENSMUSG00000001285,melanocyte proliferating gene 1 [Source:MGI Symbol;Acc:MGI:1929864],PBANKA_110770,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000054589,predicted gene 9949 [Source:MGI Symbol;Acc:MGI:3647947],PBANKA_110870,"chromosome condensation protein, putative",ISIGEM
ENSMUSG00000023852,chromodomain helicase DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:88393],PBANKA_110900,"RNA polymerase I, putative",ISIGEM
ENSMUSG00000051582,OTU domain containing 6A [Source:MGI Symbol;Acc:MGI:3644685],PBANKA_110960,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000001285,melanocyte proliferating gene 1 [Source:MGI Symbol;Acc:MGI:1929864],PBANKA_111000,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000022902,stefin A2 [Source:MGI Symbol;Acc:MGI:106197],PBANKA_111130,"kinase binding protein CGI-121, putative",ISIGEM
ENSMUSG00000040328,olfactory receptor 56 [Source:MGI Symbol;Acc:MGI:1333785],PBANKA_111180,"glutathione synthetase, putative",ISIGEM
ENSMUSG00000022475,histone deacetylase 7 [Source:MGI Symbol;Acc:MGI:1891835],PBANKA_111280,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000001285,melanocyte proliferating gene 1 [Source:MGI Symbol;Acc:MGI:1929864],PBANKA_111350,"Rab1a, putative",ISIGEM
ENSMUSG00000055319,Sec23 interacting protein [Source:MGI Symbol;Acc:MGI:2450915],PBANKA_111610,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000074221,zinc finger protein 568 [Source:MGI Symbol;Acc:MGI:2142347],PBANKA_111640,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000051232,transmembrane protein 199 [Source:MGI Symbol;Acc:MGI:2144113],PBANKA_111660,"alpha adaptin-like protein, putative, fragment",ISIGEM
ENSMUSG00000023852,chromodomain helicase DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:88393],PBANKA_111700,"histone H2A, putative",ISIGEM
ENSMUSG00000023852,chromodomain helicase DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:88393],PBANKA_111710,"histone H3, putative",ISIGEM
ENSMUSG00000074957,olfactory receptor 1299 [Source:MGI Symbol;Acc:MGI:3031133],PBANKA_111860,"cell division cycle protein 48 homologue, putative",ISIGEM
ENSMUSG00000001285,melanocyte proliferating gene 1 [Source:MGI Symbol;Acc:MGI:1929864],PBANKA_111890,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000023852,chromodomain helicase DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:88393],PBANKA_112020,"pyridoxine/pyridoxal 5-phosphate biosynthesis enzyme, putative",ISIGEM
ENSMUSG00000068962,zinc finger protein 114 [Source:MGI Symbol;Acc:MGI:3037815],PBANKA_112070,"nascent polypeptide associated complex alpha chain, putative",ISIGEM
ENSMUSG00000075222,olfactory receptor 988 [Source:MGI Symbol;Acc:MGI:3030822],PBANKA_112120,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000025337,Shwachman-Bodian-Diamond syndrome homolog (human) [Source:MGI Symbol;Acc:MGI:1913961],PBANKA_112150,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000071077,predicted gene 9104 [Source:MGI Symbol;Acc:MGI:3645365],PBANKA_112150,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000000384,transforming growth factor beta regulated gene 4 [Source:MGI Symbol;Acc:MGI:1100868],PBANKA_112160,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000040328,olfactory receptor 56 [Source:MGI Symbol;Acc:MGI:1333785],PBANKA_112170,"leucyl tRNA synthase, putative",ISIGEM
ENSMUSG00000032604,glutaminyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:1915851],PBANKA_112240,"superoxide dismutase, putative",ISIGEM
ENSMUSG00000029372,pro-platelet basic protein [Source:MGI Symbol;Acc:MGI:1888712],PBANKA_112270,"protein kinase, putative",ISIGEM
ENSMUSG00000048826,"dapper homolog 2, antagonist of beta-catenin (xenopus) [Source:MGI Symbol;Acc:MGI:1920347]",PBANKA_112300,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000043119,olfactory receptor 448 [Source:MGI Symbol;Acc:MGI:3030282],PBANKA_112470,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000006490,"prolactin family8, subfamily a, member 9 [Source:MGI Symbol;Acc:MGI:1914560]",PBANKA_112520,"Sec14 protein, putative",ISIGEM
ENSMUSG00000000724,"crystallin, beta A1 [Source:MGI Symbol;Acc:MGI:88518]",PBANKA_112580,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000039720,glutamic-oxaloacetic transaminase 1-like 1 [Source:MGI Symbol;Acc:MGI:1923865],PBANKA_112580,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000001285,melanocyte proliferating gene 1 [Source:MGI Symbol;Acc:MGI:1929864],PBANKA_112620,"4-methyl-5(B-hydroxyethyl)-thiazol monophosphate biosynthesis enzyme, putative",ISIGEM
ENSMUSG00000015656,heat shock protein 8 [Source:MGI Symbol;Acc:MGI:105384],PBANKA_112730,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000023852,chromodomain helicase DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:88393],PBANKA_112870,"phosphatidylinositol/phosphatidylcholine transfer protein, putative",ISIGEM
ENSMUSG00000040328,olfactory receptor 56 [Source:MGI Symbol;Acc:MGI:1333785],PBANKA_112880,"CPW-WPC family protein, putative",ISIGEM
ENSMUSG00000068739,seryl-aminoacyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:102809],PBANKA_112890,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000047149,olfactory receptor 1052 [Source:MGI Symbol;Acc:MGI:3030886],PBANKA_113030,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000031711,zinc finger protein 330 [Source:MGI Symbol;Acc:MGI:1353574],PBANKA_113120,"60S ribosomal protein L7-2, putative",ISIGEM
ENSMUSG00000040328,olfactory receptor 56 [Source:MGI Symbol;Acc:MGI:1333785],PBANKA_113140,metacaspase 1,ISIGEM
ENSMUSG00000031711,zinc finger protein 330 [Source:MGI Symbol;Acc:MGI:1353574],PBANKA_113150,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000037321,"transporter 1, ATP-binding cassette, sub-family B (MDR/TAP) [Source:MGI Symbol;Acc:MGI:98483]",PBANKA_113160,"minchromosome maintenance (MCM) complex subunit, putative",ISIGEM
ENSMUSG00000068739,seryl-aminoacyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:102809],PBANKA_113400,"U3 snoRNA-associated small subunit rRNA processing protein, putative",ISIGEM
ENSMUSG00000023931,"EF hand domain family, member B [Source:MGI Symbol;Acc:MGI:3045296]",PBANKA_113510,"40S ribosomal protein S13, putative",ISIGEM
ENSMUSG00000054589,predicted gene 9949 [Source:MGI Symbol;Acc:MGI:3647947],PBANKA_113520,"GTP-binding protein, putative",ISIGEM
ENSMUSG00000023852,chromodomain helicase DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:88393],PBANKA_113640,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000054589,predicted gene 9949 [Source:MGI Symbol;Acc:MGI:3647947],PBANKA_113640,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000054589,predicted gene 9949 [Source:MGI Symbol;Acc:MGI:3647947],PBANKA_113700,"falcilysin, putative",ISIGEM
ENSMUSG00000054589,predicted gene 9949 [Source:MGI Symbol;Acc:MGI:3647947],PBANKA_113780,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000068882,Sjogren syndrome antigen B [Source:MGI Symbol;Acc:MGI:98423],PBANKA_113800,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000001285,melanocyte proliferating gene 1 [Source:MGI Symbol;Acc:MGI:1929864],PBANKA_113820,"ATP-dependent DNA helicase, putative",ISIGEM
ENSMUSG00000023852,chromodomain helicase DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:88393],PBANKA_113830,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000025877,hexokinase 3 [Source:MGI Symbol;Acc:MGI:2670962],PBANKA_113830,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000031711,zinc finger protein 330 [Source:MGI Symbol;Acc:MGI:1353574],PBANKA_113840,"cysteine protease, putative",ISIGEM
ENSMUSG00000044292,olfactory receptor 978 [Source:MGI Symbol;Acc:MGI:3030812],PBANKA_114020,"splicing factor, putative",ISIGEM
ENSMUSG00000060534,deleted in colorectal carcinoma [Source:MGI Symbol;Acc:MGI:94869],PBANKA_114020,"splicing factor, putative",ISIGEM
ENSMUSG00000066241,olfactory receptor 514 [Source:MGI Symbol;Acc:MGI:3030348],PBANKA_114020,"splicing factor, putative",ISIGEM
ENSMUSG00000040328,olfactory receptor 56 [Source:MGI Symbol;Acc:MGI:1333785],PBANKA_114040,"exosome complex exonuclease, putative",ISIGEM
ENSMUSG00000023931,"EF hand domain family, member B [Source:MGI Symbol;Acc:MGI:3045296]",PBANKA_114170,"60S ribosomal protein L40/UBI, putative",ISIGEM
ENSMUSG00000075222,olfactory receptor 988 [Source:MGI Symbol;Acc:MGI:3030822],PBANKA_114220,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000023931,"EF hand domain family, member B [Source:MGI Symbol;Acc:MGI:3045296]",PBANKA_114270,"phosphatidyl serine syntase, putative",ISIGEM
ENSMUSG00000055319,Sec23 interacting protein [Source:MGI Symbol;Acc:MGI:2450915],PBANKA_114310,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000023852,chromodomain helicase DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:88393],PBANKA_114430,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000068739,seryl-aminoacyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:102809],PBANKA_114440,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000068739,seryl-aminoacyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:102809],PBANKA_114540,"Plasmodium exported protein, unknown function",ISIGEM
ENSMUSG00000001285,melanocyte proliferating gene 1 [Source:MGI Symbol;Acc:MGI:1929864],PBANKA_114550,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000055319,Sec23 interacting protein [Source:MGI Symbol;Acc:MGI:2450915],PBANKA_114580,"conserved rodent malaria protein, unknown function",ISIGEM
ENSMUSG00000068196,"collagen, type VIII, alpha 1 [Source:MGI Symbol;Acc:MGI:88463]",PBANKA_114580,"conserved rodent malaria protein, unknown function",ISIGEM
ENSMUSG00000068739,seryl-aminoacyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:102809],PBANKA_114580,"conserved rodent malaria protein, unknown function",ISIGEM
ENSMUSG00000032604,glutaminyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:1915851],PBANKA_120080,"RNA-binding protein, putative",ISIGEM
ENSMUSG00000001285,melanocyte proliferating gene 1 [Source:MGI Symbol;Acc:MGI:1929864],PBANKA_120100,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000030512,small nuclear ribonucleoprotein polypeptide A' [Source:MGI Symbol;Acc:MGI:1916231],PBANKA_120110,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000023931,"EF hand domain family, member B [Source:MGI Symbol;Acc:MGI:3045296]",PBANKA_120190,"40S ribosomal protein S20e, putative",ISIGEM
ENSMUSG00000049796,corticotropin releasing hormone [Source:MGI Symbol;Acc:MGI:88496],PBANKA_120200,"membrane skeletal protein, putative",ISIGEM
ENSMUSG00000057342,sphingosine kinase 2 [Source:MGI Symbol;Acc:MGI:1861380],PBANKA_120200,"membrane skeletal protein, putative",ISIGEM
ENSMUSG00000023931,"EF hand domain family, member B [Source:MGI Symbol;Acc:MGI:3045296]",PBANKA_120210,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000040328,olfactory receptor 56 [Source:MGI Symbol;Acc:MGI:1333785],PBANKA_120220,"U5 small nuclear ribonuclear protein, putative",ISIGEM
ENSMUSG00000060534,deleted in colorectal carcinoma [Source:MGI Symbol;Acc:MGI:94869],PBANKA_120250,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000047149,olfactory receptor 1052 [Source:MGI Symbol;Acc:MGI:3030886],PBANKA_120390,"DnaJ protein, putative",ISIGEM
ENSMUSG00000054589,predicted gene 9949 [Source:MGI Symbol;Acc:MGI:3647947],PBANKA_120500,"RNA-binding protein, putative",ISIGEM
ENSMUSG00000090202,RIKEN cDNA 4930503B20 gene [Source:MGI Symbol;Acc:MGI:1922264],PBANKA_120700,"small subunit rRNA processing protein, putative",ISIGEM
ENSMUSG00000066750,olfactory receptor 876 [Source:MGI Symbol;Acc:MGI:3030710],PBANKA_120740,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000031711,zinc finger protein 330 [Source:MGI Symbol;Acc:MGI:1353574],PBANKA_120780,"metallopeptidase, putative",ISIGEM
ENSMUSG00000001285,melanocyte proliferating gene 1 [Source:MGI Symbol;Acc:MGI:1929864],PBANKA_120790,"protein phosphatase, putative",ISIGEM
ENSMUSG00000000724,"crystallin, beta A1 [Source:MGI Symbol;Acc:MGI:88518]",PBANKA_120830,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000039720,glutamic-oxaloacetic transaminase 1-like 1 [Source:MGI Symbol;Acc:MGI:1923865],PBANKA_120830,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000036534,"solute carrier family 38, member 7 [Source:MGI Symbol;Acc:MGI:2679005]",PBANKA_120880,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000024223,RIKEN cDNA 4930511I11 gene [Source:MGI Symbol;Acc:MGI:1914895],PBANKA_120990,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000066241,olfactory receptor 514 [Source:MGI Symbol;Acc:MGI:3030348],PBANKA_121000,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000023931,"EF hand domain family, member B [Source:MGI Symbol;Acc:MGI:3045296]",PBANKA_121060,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000006490,"prolactin family8, subfamily a, member 9 [Source:MGI Symbol;Acc:MGI:1914560]",PBANKA_121130,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000006490,"prolactin family8, subfamily a, member 9 [Source:MGI Symbol;Acc:MGI:1914560]",PBANKA_121170,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000045575,vomeronasal 1 receptor 233 [Source:MGI Symbol;Acc:MGI:2159639],PBANKA_121190,"phosphoinositide specific phospholipase c, putative",ISIGEM
ENSMUSG00000066241,olfactory receptor 514 [Source:MGI Symbol;Acc:MGI:3030348],PBANKA_121250,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000033257,"tubulin tyrosine ligase-like family, member 4 [Source:MGI Symbol;Acc:MGI:1914784]",PBANKA_121400,"heat shock protein 60, putative",ISIGEM
ENSMUSG00000054589,predicted gene 9949 [Source:MGI Symbol;Acc:MGI:3647947],PBANKA_121650,"peptidyl-prolyl cis-trans isomerase, putative",ISIGEM
ENSMUSG00000022902,stefin A2 [Source:MGI Symbol;Acc:MGI:106197],PBANKA_121680,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000023852,chromodomain helicase DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:88393],PBANKA_121680,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000029777,glycyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:2449057],PBANKA_121790,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000045336,"heat shock transcription factor, Y linked 2 [Source:MGI Symbol;Acc:MGI:1918316]",PBANKA_121830,"CPW-WPC family protein, putative",ISIGEM
ENSMUSG00000036615,regulatory factor X-associated protein [Source:MGI Symbol;Acc:MGI:2180854],PBANKA_121970,"Cg6 protein, putative",ISIGEM
ENSMUSG00000040328,olfactory receptor 56 [Source:MGI Symbol;Acc:MGI:1333785],PBANKA_122160,"cell division cycle ATPase, putative",ISIGEM
ENSMUSG00000001285,melanocyte proliferating gene 1 [Source:MGI Symbol;Acc:MGI:1929864],PBANKA_122230,"coatomer epsilon subunit, putative",ISIGEM
ENSMUSG00000031711,zinc finger protein 330 [Source:MGI Symbol;Acc:MGI:1353574],PBANKA_122260,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000075222,olfactory receptor 988 [Source:MGI Symbol;Acc:MGI:3030822],PBANKA_122270,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000075222,olfactory receptor 988 [Source:MGI Symbol;Acc:MGI:3030822],PBANKA_122320,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000033257,"tubulin tyrosine ligase-like family, member 4 [Source:MGI Symbol;Acc:MGI:1914784]",PBANKA_122350,"RNA helicase, putative",ISIGEM
ENSMUSG00000054589,predicted gene 9949 [Source:MGI Symbol;Acc:MGI:3647947],PBANKA_122540,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000071273,predicted pseudogene 5145 [Source:MGI Symbol;Acc:MGI:3645482],PBANKA_122560,"alpha/beta hydrolase, putative",ISIGEM
ENSMUSG00000023852,chromodomain helicase DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:88393],PBANKA_122860,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000038742,angiopoietin-like 6 [Source:MGI Symbol;Acc:MGI:1917976],PBANKA_122930,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000039720,glutamic-oxaloacetic transaminase 1-like 1 [Source:MGI Symbol;Acc:MGI:1923865],PBANKA_123090,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000004264,prohibitin 2 [Source:MGI Symbol;Acc:MGI:102520],PBANKA_123130,"metabolite/drug transporter, putative",ISIGEM
ENSMUSG00000029486,mitochondrial ribosomal protein L1 [Source:MGI Symbol;Acc:MGI:2137202],PBANKA_123160,"transcription factor with AP2 domain(s), putative",ISIGEM
ENSMUSG00000074170,"pleckstrin homology domain containing, family F (with FYVE domain) member 1 [Source:MGI Symbol;Acc:MGI:1919537]",PBANKA_123230,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000023852,chromodomain helicase DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:88393],PBANKA_123310,"proteasome subunit beta type 1, putative",ISIGEM
ENSMUSG00000055319,Sec23 interacting protein [Source:MGI Symbol;Acc:MGI:2450915],PBANKA_123450,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000035305,receptor tyrosine kinase-like orphan receptor 1 [Source:MGI Symbol;Acc:MGI:1347520],PBANKA_123490,"protein phosphatase 2C, putative",ISIGEM
ENSMUSG00000031711,zinc finger protein 330 [Source:MGI Symbol;Acc:MGI:1353574],PBANKA_123540,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000047149,olfactory receptor 1052 [Source:MGI Symbol;Acc:MGI:3030886],PBANKA_123620,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000023852,chromodomain helicase DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:88393],PBANKA_123720,"mitochondrial ribosomal protein L17 precursor, putative",ISIGEM
ENSMUSG00000040328,olfactory receptor 56 [Source:MGI Symbol;Acc:MGI:1333785],PBANKA_123850,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000040328,olfactory receptor 56 [Source:MGI Symbol;Acc:MGI:1333785],PBANKA_123920,"cytosolic preribosomal GTP-binding protein, putative",ISIGEM
ENSMUSG00000025201,predicted gene 13540 [Source:MGI Symbol;Acc:MGI:3702045],PBANKA_123930,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000015961,"adenylosuccinate synthetase, non muscle [Source:MGI Symbol;Acc:MGI:87948]",PBANKA_123940,"organelle ribosomal protein L7/L12 precursor, putative",ISIGEM
ENSMUSG00000048047,zinc finger and BTB domain containing 33 [Source:MGI Symbol;Acc:MGI:1927290],PBANKA_123940,"organelle ribosomal protein L7/L12 precursor, putative",ISIGEM
ENSMUSG00000001285,melanocyte proliferating gene 1 [Source:MGI Symbol;Acc:MGI:1929864],PBANKA_123950,"mitochondrial import receptor subunit, putative",ISIGEM
ENSMUSG00000023931,"EF hand domain family, member B [Source:MGI Symbol;Acc:MGI:3045296]",PBANKA_124010,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000040328,olfactory receptor 56 [Source:MGI Symbol;Acc:MGI:1333785],PBANKA_124030,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000023852,chromodomain helicase DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:88393],PBANKA_124040,"RNA methyltransferase, putative",ISIGEM
ENSMUSG00000031711,zinc finger protein 330 [Source:MGI Symbol;Acc:MGI:1353574],PBANKA_124130,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000023931,"EF hand domain family, member B [Source:MGI Symbol;Acc:MGI:3045296]",PBANKA_124160,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000054589,predicted gene 9949 [Source:MGI Symbol;Acc:MGI:3647947],PBANKA_124240,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000039720,glutamic-oxaloacetic transaminase 1-like 1 [Source:MGI Symbol;Acc:MGI:1923865],PBANKA_124250,"RNA helicase, putative",ISIGEM
ENSMUSG00000027852,neuroblastoma ras oncogene [Source:MGI Symbol;Acc:MGI:97376],PBANKA_124510,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000055319,Sec23 interacting protein [Source:MGI Symbol;Acc:MGI:2450915],PBANKA_124530,"formin 1, putative",ISIGEM
ENSMUSG00000073130,predicted gene 1141 [Source:MGI Symbol;Acc:MGI:2685987],PBANKA_124550,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000029777,glycyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:2449057],PBANKA_124580,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000023852,chromodomain helicase DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:88393],PBANKA_124590,"Plasmodium exported protein, unknown function",ISIGEM
ENSMUSG00000006490,"prolactin family8, subfamily a, member 9 [Source:MGI Symbol;Acc:MGI:1914560]",PBANKA_124700,BIR protein,ISIGEM
ENSMUSG00000090527,predicted gene 5538 [Source:MGI Symbol;Acc:MGI:3779495],PBANKA_130050,"tubulin, putative",ISIGEM
ENSMUSG00000025224,golgi-specific brefeldin A-resistance factor 1 [Source:MGI Symbol;Acc:MGI:1861607],PBANKA_130060,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000027429,SEC23B (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1350925],PBANKA_130120,"mediator complex subunit 31, putative",ISIGEM
ENSMUSG00000031711,zinc finger protein 330 [Source:MGI Symbol;Acc:MGI:1353574],PBANKA_130260,"small subunit DNA primase, putative",ISIGEM
ENSMUSG00000023931,"EF hand domain family, member B [Source:MGI Symbol;Acc:MGI:3045296]",PBANKA_130370,"vesicle-associated membrane protein, putative",ISIGEM
ENSMUSG00000054589,predicted gene 9949 [Source:MGI Symbol;Acc:MGI:3647947],PBANKA_130370,"vesicle-associated membrane protein, putative",ISIGEM
ENSMUSG00000023852,chromodomain helicase DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:88393],PBANKA_130530,"structure specific recognition protein, putative",ISIGEM
ENSMUSG00000032803,carnitine deficiency-associated gene expressed in ventricle 3 [Source:MGI Symbol;Acc:MGI:2448759],PBANKA_130540,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000039540,RIKEN cDNA 4921524L21 gene [Source:MGI Symbol;Acc:MGI:1918151],PBANKA_130540,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000057367,baculoviral IAP repeat-containing 2 [Source:MGI Symbol;Acc:MGI:1197009],PBANKA_130580,"transcription factor TFIIH complex subunit Tfb5, putative",ISIGEM
ENSMUSG00000023852,chromodomain helicase DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:88393],PBANKA_130760,"dephospho-CoA kinase, putative",ISIGEM
ENSMUSG00000000724,"crystallin, beta A1 [Source:MGI Symbol;Acc:MGI:88518]",PBANKA_130960,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000039720,glutamic-oxaloacetic transaminase 1-like 1 [Source:MGI Symbol;Acc:MGI:1923865],PBANKA_130960,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000020792,exocyst complex component 7 [Source:MGI Symbol;Acc:MGI:1859270],PBANKA_131010,"pyruvate dehydrogenase E1 beta subunit, putative",ISIGEM
ENSMUSG00000023931,"EF hand domain family, member B [Source:MGI Symbol;Acc:MGI:3045296]",PBANKA_131030,"conserved Plasmodium protein, unknown function, fragment",ISIGEM
ENSMUSG00000001285,melanocyte proliferating gene 1 [Source:MGI Symbol;Acc:MGI:1929864],PBANKA_131050,"conserved Plasmodium protein, unknown function",ISIGEM
ENSMUSG00000006490,"prolactin family8, subfamily a, member 9 [Source:MGI Symbol;Acc:MGI:1914560]",PBANKA_131080,"40S ribosomal protein S2, putative",ISIGEM
ENSMUSG00000039720,glutamic-oxaloacetic transaminase 1-like 1 [Source:MGI Symbol;Acc:MGI:1923865],PBANKA_131090,"conserved Plasmodium protein, unknown function",ISIGEM
