[Gene ID]	[Fold Change]	[Chosen Comp (log2)]	[Chosen Ref (log2)]	[Previous ID(s)]	
TGME49_249980	-5.1	1.72	4.06	1923.t000620, 50.m05675, TGME49_049980, TgGLEAN_7900, TgGlmHMM_1674, TgTigrScan_6635, TgTwinScan_4371, mrna.TGME49_049980A, tigr:cds.TGME49_049980A	
TGME49_249990	-1.2	5.05	5.34	1923.t000621, 50.m03350, TGME49_049990, TgGLEAN_7899, TgGlmHMM_1674, TgTigrScan_6636, TgTwinScan_4372, mrna.TGME49_049990A, tigr:cds.TGME49_049990A	
TGME49_250000	-1.1	0	0.08	1923.t000622, 50.m07088, TGME49_050000, TgGlmHMM_1674, mrna.TGME49_050000A, tigr:cds.TGME49_050000A	
TGME49_250010	-1.3	4.12	4.51	1923.t000623, 50.m03351, TGME49_050010, TgGLEAN_7898, TgGlmHMM_1675, TgTigrScan_6637, TgTwinScan_4373, mrna.TGME49_050010A, tigr:cds.TGME49_050010A	
TGME49_250020	1	2.44	2.37	1923.t000624, 50.m05666, TGME49_050020, mrna.TGME49_050020A, tigr:cds.TGME49_050020A	
TGME49_250030	-2.2	2.49	3.66	1923.t000625, 50.m07087, TGME49_050030, TgGLEAN_7898, TgGlmHMM_1675, TgTigrScan_6637, TgTwinScan_4374, mrna.TGME49_050030A, tigr:cds.TGME49_050030A	
TGME49_250040	-1.3	4.16	4.56	1923.t000626, 50.m03352, TGME49_050040, TgGLEAN_8263, TgTwinScan_4375, mrna.TGME49_050040A, tigr:cds.TGME49_050040A	
TGME49_250050	-1.7	1.56	2.29	1923.t000627, 50.m05674, TGME49_050050, TgGLEAN_7898, TgGlmHMM_1675, TgTigrScan_6637, TgTwinScan_4376, mrna.TGME49_050050A, tigr:cds.TGME49_050050A	
TGME49_250060	-1.3	3.23	3.56	1923.t000628, 50.m03353, TGME49_050060, TgGLEAN_8264, TgGlmHMM_1676, TgTigrScan_6638, TgTwinScan_4378, mrna.TGME49_050060A, tigr:cds.TGME49_050060A	
TGME49_250080	1	0	0	1923.t000629, 50.m07085, TGME49_050080, TgTigrScan_6639, mrna.TGME49_050080A, tigr:cds.TGME49_050080A	
TGME49_250090	-1.3	3.49	3.91	1923.t000630, 50.m05667, TGME49_050090, TgGLEAN_8265, TgGlmHMM_1676, TgTigrScan_6640, TgTigrScan_6641, TgTwinScan_4380, mrna.TGME49_050090A, tigr:cds.TGME49_050090A	
TGME49_250100	-1.1	0.44	0.51	1923.t000632, TGME49_050100, mrna.TGME49_050100A, tigr:cds.TGME49_050100A	
TGME49_250115	-1.3	0.3	0.65	1923.t000633, 50.m07651, 50.m07652, TGME49_050110, TGME49_050120, TgGlmHMM_1676, mrna.TGME49_050110A, mrna.TGME49_050120A, tigr:cds.TGME49_050110A, tigr:cds.TGME49_050120A	
TGME49_250220	1.1	0.21	0.08	1923.t000634, TGME49_050220	
TGME49_250330	-1.1	5.08	5.22	1923.t000636, 50.m03355, TGME49_050330, TgGLEAN_7894, TgGlmHMM_1677, TgTigrScan_6644, TgTwinScan_4383, mrna.TGME49_050330A, tigr:cds.TGME49_050330A	
TGME49_250340	-1.4	5.4	5.83	1923.t000637, 50.m03356, TGME49_050340, TgGLEAN_7893, TgGlmHMM_1677, TgTigrScan_6644, TgTwinScan_4384, mrna.TGME49_050340A, tigr:cds.TGME49_050340A	
TGME49_250350	-1.1	6.54	6.72	1923.t000638, 50.m03357, TGME49_050350, TgGLEAN_8266, TgGlmHMM_1678, TgTigrScan_6645, TgTwinScan_4385, mrna.TGME49_050350A, tigr:cds.TGME49_050350A	
TGME49_250360	-1.2	4.28	4.53	1923.t000639, 50.m03358, TGME49_050360, TgGLEAN_7892, TgGlmHMM_1679, TgTigrScan_6646, TgTwinScan_4386, mrna.TGME49_050360A, tigr:cds.TGME49_050360A	
TGME49_250500	1	0	0	1923.t000640, TGME49_050500	
TGME49_250670	1.1	0.15	0.03	1923.t000641, TGME49_050670, TgGLEAN_7890, TgGlmHMM_1681, TgTwinScan_4388, mrna.TGME49_050670A, tigr:cds.TGME49_050670A	
TGME49_250680	-1.3	2.2	2.54	1923.t000642, 50.m03360, TGME49_050680, TgGLEAN_7888, TgGLEAN_7889, TgGlmHMM_1682, TgTigrScan_6649, TgTigrScan_6650, TgTwinScan_4390, TgTwinScan_4391, mrna.TGME49_050680A, tigr:cds.TGME49_050680A	
TGME49_250685	-2	2.81	3.85	1923.t000643, TGME49_050685	
TGME49_250690	-2.1	3.31	4.41	1923.t000644, 50.m03362, TGME49_050690, TgGLEAN_8269, TgGLEAN_8270, TgGLEAN_8271, TgGlmHMM_1683, TgTigrScan_6652, TgTigrScan_6653, TgTigrScan_6654, TgTwinScan_4392, mrna.TGME49_050690A, tigr:cds.TGME49_050690A	
TGME49_250700	-1.7	3.61	4.35	1923.t000645, 50.m00080, TGME49_050700, TgGLEAN_8272, TgGlmHMM_1683, TgTigrScan_6655, TgTwinScan_4393, mrna.TGME49_050700A, tigr:cds.TGME49_050700A	
TGME49_250710	1	1.04	1	1923.t000646, 50.m00010, TGME49_050710, TgGLEAN_8273, TgGlmHMM_1683, TgTigrScan_6655, TgTwinScan_4394, mrna.TGME49_050710A, tigr:cds.TGME49_050710A	
TGME49_250720	-2	1.56	2.56	1923.t000647, 50.m03365, TGME49_050720, TgGLEAN_7886, TgGlmHMM_1684, TgTigrScan_8280, TgTwinScan_4396, mrna.TGME49_050720A, tigr:cds.TGME49_050720A	
TGME49_250730	-1.2	3.87	4.1	1923.t000648, 50.m00081, TGME49_050730, TgGLEAN_8274, TgGlmHMM_1685, TgTigrScan_8281, TgTwinScan_4398, mrna.TGME49_050730A, tigr:cds.TGME49_050730A	
TGME49_250740	-1.4	4.32	4.77	1923.t000649, 50.m05681, TGME49_050740, TgGLEAN_7884, TgGlmHMM_1686, TgTigrScan_8282, TgTwinScan_4399, mrna.TGME49_050740A, tigr:cds.TGME49_050740A	
TGME49_250750	-2.3	3.02	4.24	1923.t000650, 50.m00092, TGME49_050750, TgGLEAN_7883, TgGlmHMM_1686, TgTigrScan_8282, TgTigrScan_8283, TgTwinScan_4400, mrna.TGME49_050750A, tigr:cds.TGME49_050750A	
TGME49_250760	-1.4	3.99	4.43	1923.t000651, 50.m03369, TGME49_050760, TgGLEAN_8275, TgGlmHMM_1687, TgTigrScan_8284, TgTwinScan_4401, mrna.TGME49_050760A, tigr:cds.TGME49_050760A	
TGME49_250770	1.2	9.53	9.3	1923.t000652, 50.m05680, TGME49_050770, TgGLEAN_7882, TgGlmHMM_1688, TgTigrScan_8285, TgTwinScan_4402, mrna.TGME49_050770A, tigr:cds.TGME49_050770A	
TGME49_250780	-1.6	2.18	2.82	1923.t000653, 50.m03370, TGME49_050780, TgGLEAN_7880, TgGLEAN_7881, TgGlmHMM_1688, TgGlmHMM_1689, TgTigrScan_8286, TgTigrScan_8287, TgTigrScan_8288, TgTwinScan_4403, mrna.TGME49_050780A, tigr:cds.TGME49_050780A	
TGME49_250790	-1.4	2.45	2.93	1923.t000655, 50.m03371, TGME49_050790, TgGLEAN_8276, TgGlmHMM_1690, TgTigrScan_8289, TgTigrScan_8290, TgTwinScan_4404, mrna.TGME49_050790A, tigr:cds.TGME49_050790A	
TGME49_250800	-1.6	3.1	3.74	1923.t000656, 50.m03372, TGME49_050800, TgGLEAN_7879, TgGlmHMM_1691, TgTigrScan_8291, TgTigrScan_8292, TgTwinScan_4405, mrna.TGME49_050800A, tigr:cds.TGME49_050800A	
TGME49_250810	1.1	9.36	9.19	1923.t000657, 50.m03373, TGME49_050810, TgGLEAN_7878, TgGlmHMM_1692, TgTigrScan_8294, TgTwinScan_4406, mrna.TGME49_050810A, tigr:cds.TGME49_050810A	
TGME49_250820	-1.4	3.23	3.71	1923.t000658, 50.m03374, TGME49_050820, TgGLEAN_8278, TgGlmHMM_1693, TgTigrScan_8295, TgTwinScan_4407, mrna.TGME49_050820A, tigr:cds.TGME49_050820A	
TGME49_250830	-1.5	5.12	5.72	1923.t000659, 50.m03375, TGME49_050830, TgGLEAN_8279, TgGlmHMM_1694, TgTigrScan_8295, TgTwinScan_4409, mrna.TGME49_050830A, tigr:cds.TGME49_050830A	
TGME49_250840	1	2.21	2.2	1923.t000660, 50.m05682, TGME49_050840, TgGLEAN_8279, TgGlmHMM_1694, TgTigrScan_8295, TgTwinScan_4410, mrna.TGME49_050840A, tigr:cds.TGME49_050840A	
TGME49_250850	-1.6	2.5	3.21	1923.t000661, 50.m03378, TGME49_050850, TgGLEAN_7877, TgGlmHMM_1695, TgTigrScan_8296, TgTwinScan_4411, mrna.TGME49_050850A, tigr:cds.TGME49_050850A	
TGME49_250870	-1.3	4.06	4.43	1923.t000662, 50.m00091, TGME49_050870, TgGLEAN_7876, TgGlmHMM_1695, TgTigrScan_8297, TgTwinScan_4412, TgTwinScan_4413, mrna.TGME49_050870A, tigr:cds.TGME49_050870A	
TGME49_250880	1.1	6.29	6.2	1923.t000663, 50.m00018, TGME49_050880, TgGLEAN_7875, TgGlmHMM_1695, TgTigrScan_7749, TgTigrScan_8298, TgTwinScan_4414, mrna.TGME49_050880A, tigr:cds.TGME49_050880A	
TGME49_250890	-1	2.91	2.97	1923.t000664, 50.m03381, TGME49_050890, TgGLEAN_7874, TgGlmHMM_1695, TgTigrScan_7750, TgTwinScan_4415, mrna.TGME49_050890A, tigr:cds.TGME49_050890A	
TGME49_250900	-1.3	3.46	3.87	1923.t000665, 50.m05683, TGME49_050900, TgGLEAN_8280, TgGlmHMM_1696, TgTigrScan_7751, TgTwinScan_4416, mrna.TGME49_050900A, tigr:cds.TGME49_050900A	
TGME49_250905	-1.6	0.25	0.94	1923.t000666, TGME49_050905	
TGME49_250910	-1.2	3.94	4.25	1923.t000667, TGME49_050910, TgTigrScan_7752, mrna.TGME49_050910A, tigr:cds.TGME49_050910A	
TGME49_250920	-3.1	4.56	6.21	1923.t000668, 50.m07082, TGME49_050920, TgGLEAN_7873, TgGlmHMM_1697, TgTigrScan_7752, TgTwinScan_4418, mrna.TGME49_050920A, tigr:cds.TGME49_050920A	
TGME49_250930	2	2.26	1.26	1923.t000669, 50.m00090, TGME49_050930, TgGLEAN_7872, TgGlmHMM_1697, TgTigrScan_7752, TgTigrScan_7753, mrna.TGME49_050930A, tigr:cds.TGME49_050930A	
TGME49_250940	-2.1	0.36	1.46	1923.t000670, 50.m05684, TGME49_050940, mrna.TGME49_050940A, tigr:cds.TGME49_050940A	
TGME49_250950	-1	0	0.01	31.t000001, 50.m03383, TGME49_050950, TgGLEAN_7871, TgGlmHMM_1697, TgTigrScan_7754, TgTigrScan_7755, mrna.TGME49_050950A, tigr:cds.TGME49_050950A	
TGME49_250955	1.1	0.14	0.05	31.t000002, TGME49_050955	
TGME49_251170	2.7	2.3	0.85	1923.t000671, 50.m03386, TGME49_051170, TgGLEAN_7869, TgGlmHMM_1697, TgTigrScan_7759, TgTigrScan_7760, TgTwinScan_4424, mrna.TGME49_051170A, tigr:cds.TGME49_051170A	
TGME49_251180	1	0.06	0.05	1923.t000672, TGME49_051180	
TGME49_251390	-1.8	4.3	5.16	1923.t000673, 50.m00088, TGME49_051390, TgGLEAN_7868, TgGlmHMM_1697, TgTigrScan_7762, TgTwinScan_4425, mrna.TGME49_051390A, tigr:cds.TGME49_051390A	
TGME49_251400	-1.2	3.58	3.82	1923.t000674, 50.m03389, TGME49_051400, TgGLEAN_8281, TgGlmHMM_1698, TgTigrScan_7763, TgTwinScan_4426, mrna.TGME49_051400A, tigr:cds.TGME49_051400A	
TGME49_251410	-1.2	3.44	3.74	1923.t000675, 50.m03390, TGME49_051410, TgGLEAN_7867, TgGlmHMM_1699, TgTigrScan_7764, TgTwinScan_4427, mrna.TGME49_051410A, tigr:cds.TGME49_051410A	
TGME49_251420	-1.5	1.22	1.85	1923.t000676, 50.m05685, TGME49_051420, TgGlmHMM_1700, mrna.TGME49_051420A, tigr:cds.TGME49_051420A	
TGME49_251430	-1.2	1.54	1.8	1923.t000678, 50.m05685, TGME49_051430, TgGLEAN_8282, TgGlmHMM_1700, TgTigrScan_7767, TgTwinScan_4428, mrna.TGME49_051430A, tigr:cds.TGME49_051430A	
TGME49_251440	-1.5	3.56	4.19	1923.t000679, 50.m00082, TGME49_051440, TgGLEAN_8283, TgGlmHMM_1700, TgTigrScan_7767, TgTwinScan_4429, mrna.TGME49_051440A, tigr:cds.TGME49_051440A	
TGME49_251450	-1.6	2.04	2.75	1923.t000680, 50.m03392, TGME49_051450, TgGLEAN_8284, TgGlmHMM_1700, TgTigrScan_7768, TgTigrScan_7769, TgTwinScan_4430, mrna.TGME49_051450A, tigr:cds.TGME49_051450A	
TGME49_251460	-1.7	1.32	2.09	1923.t000681, 50.m03393, TGME49_051460, TgGLEAN_7866, TgGlmHMM_1701, TgTigrScan_7770, TgTwinScan_4431, mrna.TGME49_051460A, tigr:cds.TGME49_051460A	
TGME49_251470	-1.4	5.4	5.86	1923.t000682, 50.m03394, TGME49_051470, TgGLEAN_8285, TgTigrScan_7771, TgTwinScan_4432, mrna.TGME49_051470A, tigr:cds.TGME49_051470A	
TGME49_251480	-1.1	3.11	3.3	1923.t000683, 50.m05688, TGME49_051480, TgGLEAN_7865, TgGlmHMM_1701, TgTigrScan_7772, TgTwinScan_4433, mrna.TGME49_051480A, tigr:cds.TGME49_051480A	
TGME49_251490	-1.3	3.66	3.99	1923.t000684, 50.m00087, TGME49_051490, TgGLEAN_7864, TgGlmHMM_1701, TgTigrScan_7772, TgTwinScan_4434, mrna.TGME49_051490A, tigr:cds.TGME49_051490A	
TGME49_251500	-1.2	6.86	7.15	1923.t000685, 50.m03396, TGME49_051500, TgGLEAN_8286, TgGlmHMM_1702, TgTigrScan_7773, TgTwinScan_4435, mrna.TGME49_051500A, tigr:cds.TGME49_051500A	
TGME49_251510	-1.3	2.38	2.77	1923.t000686, 50.m03397, TGME49_051510, TgGLEAN_7863, TgGlmHMM_1703, TgTigrScan_7774, TgTwinScan_4436, mrna.TGME49_051510A, tigr:cds.TGME49_051510A	
TGME49_251520	-1.4	4.62	5.1	1923.t000687, 50.m05687, TGME49_051520, TgGLEAN_7862, TgGlmHMM_1703, TgTigrScan_7775, TgTwinScan_4437, mrna.TGME49_051520A, tigr:cds.TGME49_051520A	
TGME49_251530	-1.2	5.12	5.36	1923.t000915, TGME49_051530, TgTigrScan_7775, mrna.TGME49_051530A, tigr:cds.TGME49_051530A	
TGME49_251540	-1.4	5.48	5.91	1923.t000688, 50.m00019, TGME49_051540, TgGLEAN_8287, TgGlmHMM_1704, TgTigrScan_7776, TgTwinScan_4438, mrna.TGME49_051540A, tigr:cds.TGME49_051540A	
TGME49_251550	-1.3	7.31	7.74	1923.t000689, 50.m03399, TGME49_051550, TgGLEAN_7861, TgGlmHMM_1705, TgTigrScan_8255, TgTwinScan_4439, mrna.TGME49_051550A, tigr:cds.TGME49_051550A	
TGME49_251560	-1.5	2.91	3.48	1923.t000690, 50.m03400, TGME49_051560, TgGLEAN_8288, TgGlmHMM_1706, TgTigrScan_8256, TgTwinScan_4440, mrna.TGME49_051560A, tigr:cds.TGME49_051560A	
TGME49_251570	-1.2	1.91	2.22	1923.t000691, 50.m05696, TGME49_051570, TgGLEAN_7860, TgTigrScan_8257, TgTwinScan_4441, mrna.TGME49_051570A, tigr:cds.TGME49_051570A	
TGME49_251580	-1	0	0.02	1923.t000692, 50.m07081, TGME49_051580, TgGlmHMM_1707, TgTigrScan_8258, mrna.TGME49_051580A, tigr:cds.TGME49_051580A	
TGME49_251590	-1.4	2.82	3.27	1923.t000693, 50.m03401, TGME49_051590, TgGLEAN_7859, TgGlmHMM_1707, TgTigrScan_8258, TgTwinScan_4443, mrna.TGME49_051590A, tigr:cds.TGME49_051590A	
TGME49_251600	-1.2	4.2	4.49	1923.t000694, 50.m00083, TGME49_051600, TgGLEAN_8290, TgGlmHMM_1708, TgTigrScan_8259, TgTwinScan_4444, mrna.TGME49_051600A, tigr:cds.TGME49_051600A	
TGME49_251610	-1.3	2.64	3.02	1923.t000695, 50.m05691, TGME49_051610, TgGLEAN_8291, TgGlmHMM_1708, TgTigrScan_8259, TgTwinScan_4445, mrna.TGME49_051610A, tigr:cds.TGME49_051610A	
TGME49_251620	-1.3	3.56	3.93	1923.t000696, 50.m03403, TGME49_051620, TgGLEAN_7858, TgGlmHMM_1709, TgTigrScan_8260, TgTwinScan_4446, mrna.TGME49_051620A, tigr:cds.TGME49_051620A	
TGME49_251630	-1.5	4.24	4.83	1923.t000697, 50.m03404, TGME49_051630, TgGLEAN_8292, TgGlmHMM_1710, TgTigrScan_8261, TgTwinScan_4447, mrna.TGME49_051630A, tigr:cds.TGME49_051630A	
TGME49_251640	-1.3	3.01	3.43	1923.t000698, 50.m03405, TGME49_051640, TgGLEAN_7857, TgGlmHMM_1711, TgTigrScan_8262, TgTwinScan_4448, mrna.TGME49_051640A, tigr:cds.TGME49_051640A	
TGME49_251650	-1.2	0	0.22	1923.t000920, 50.m07126, TGME49_051650, TgGlmHMM_1712, mrna.TGME49_051650A, tigr:cds.TGME49_051650A	
TGME49_251660	-1.1	3.33	3.45	1923.t000699, 50.m03406, TGME49_051660, TgGLEAN_8293, TgGlmHMM_1712, TgTwinScan_4449, mrna.TGME49_051660A, tigr:cds.TGME49_051660A	
TGME49_251665	-1.3	1.05	1.44	1923.t000700, TGME49_051665	
TGME49_251670	-1.4	2.61	3.12	1923.t000701, 50.m03407, TGME49_051670, TgGLEAN_8294, TgGlmHMM_1712, TgTigrScan_8263, TgTwinScan_4450, TgTwinScan_4451, mrna.TGME49_051670A, tigr:cds.TGME49_051670A	
TGME49_251680	1.1	8.79	8.71	1923.t000702, 50.m03408, TGME49_051680, TgGLEAN_7856, TgGlmHMM_1713, TgTigrScan_8264, TgTwinScan_4452, mrna.TGME49_051680A, tigr:cds.TGME49_051680A	
TGME49_251690	-1.1	6.86	6.98	1923.t000703, 50.m00020, TGME49_051690, TgGLEAN_8295, TgGlmHMM_1714, TgTigrScan_8265, TgTwinScan_4453, mrna.TGME49_051690A, tigr:cds.TGME49_051690A	
TGME49_251710	-1.4	3.12	3.63	1923.t000704, 50.m05692, TGME49_051710, TgGLEAN_8296, TgGlmHMM_1714, TgTigrScan_8266, TgTwinScan_4454, mrna.TGME49_051710A, tigr:cds.TGME49_051710A	
TGME49_251730	-1.3	3.26	3.58	1923.t000705, 50.m03410, TGME49_051730, TgGLEAN_8296, TgGlmHMM_1714, TgTigrScan_8266, TgTigrScan_8267, TgTwinScan_4455, mrna.TGME49_051730A, tigr:cds.TGME49_051730A	
TGME49_251740	-1	1.99	2.05	1923.t000706, 50.m03411, TGME49_051740, TgGLEAN_7855, TgGlmHMM_1715, TgTigrScan_8268, TgTigrScan_8269, TgTwinScan_4456, mrna.TGME49_051740A, tigr:cds.TGME49_051740A	
TGME49_251750	-3.8	1.32	3.23	1923.t000707, 50.m03412, TGME49_051750, TgGLEAN_8297, TgGlmHMM_1716, TgTwinScan_4457, mrna.TGME49_051750A, tigr:cds.TGME49_051750A	
TGME49_251760	-1.1	6.27	6.34	1923.t000708, 50.m03413, TGME49_051760, TgGLEAN_7854, TgGlmHMM_1717, TgTigrScan_8271, TgTwinScan_4458, mrna.TGME49_051760A, tigr:cds.TGME49_051760A	
TGME49_251770	-2	3.34	4.32	1923.t000709, 50.m03414, TGME49_051770, TgGLEAN_7853, TgGlmHMM_1717, TgTigrScan_8271, TgTwinScan_4459, mrna.TGME49_051770A, tigr:cds.TGME49_051770A	
TGME49_251780	-1.3	7.72	8.07	1923.t000710, 50.m00085, TGME49_051780, TgGLEAN_7852, TgGlmHMM_1717, TgTigrScan_8271, TgTwinScan_4460, mrna.TGME49_051780A, tigr:cds.TGME49_051780A	
TGME49_251790	-1.3	4.63	5.04	1923.t000711, 50.m03416, TGME49_051790, mrna.TGME49_051790A, tigr:cds.TGME49_051790A	
TGME49_251800	-1.3	4.9	5.27	1923.t000712, 50.m05695, TGME49_051800, TgGLEAN_7851, TgGlmHMM_1717, TgTigrScan_8272, TgTwinScan_4461, mrna.TGME49_051800A, tigr:cds.TGME49_051800A	
TGME49_251810	1.3	10.31	9.93	1923.t000713, TGME49_051810, TgGLEAN_7850, TgGlmHMM_1717, TgTigrScan_8273, TgTwinScan_4462, mrna.TGME49_051810A, tigr:cds.TGME49_051810A	
TGME49_251820	-6.2	1.41	4.04	1923.t000714, 50.m03418, TGME49_051820, TgGLEAN_7849, TgGlmHMM_1718, TgTigrScan_8273, TgTwinScan_4463, mrna.TGME49_051820A, tigr:cds.TGME49_051820A	
TGME49_251830	-4	2.47	4.46	1923.t000715, 50.m07080, TGME49_051830, TgGlmHMM_1718, mrna.TGME49_051830A, tigr:cds.TGME49_051830A	
TGME49_251840	-1.1	3.3	3.48	1923.t000716, 50.m03419, TGME49_051840, TgGLEAN_8298, TgGlmHMM_1719, TgTigrScan_8275, TgTwinScan_4464, mrna.TGME49_051840A, tigr:cds.TGME49_051840A	
TGME49_251850	-1.4	4.06	4.57	1923.t000717, 50.m03421, TGME49_051850, TgGLEAN_8299, TgGlmHMM_1720, TgTigrScan_8276, TgTwinScan_4465, mrna.TGME49_051850A, tigr:cds.TGME49_051850A	
TGME49_251855	-1.6	0	0.64	1923.t000718, TGME49_051855	
TGME49_251857	-1.5	2.79	3.35	1923.t000720, TGME49_051857	
TGME49_251860	1.1	0.37	0.25	1923.t000912, 50.m07078, TGME49_051860, TgTigrScan_8277, mrna.TGME49_051860A, tigr:cds.TGME49_051860A	
TGME49_251870	-1.1	3.91	4.1	1923.t000721, 50.m03422, TGME49_051870, TgGLEAN_8300, TgGlmHMM_1721, TgTigrScan_8278, TgTwinScan_4467, mrna.TGME49_051870A, tigr:cds.TGME49_051870A	
TGME49_251880	-1.1	5.6	5.7	1923.t000722, 50.m00021, TGME49_051880, TgGLEAN_7846, TgGlmHMM_1722, TgTigrScan_2342, TgTigrScan_8279, TgTwinScan_4468, mrna.TGME49_051880A, tigr:cds.TGME49_051880A	
TGME49_251885	-1.1	4.83	4.94	1923.t000723, TGME49_051885	
TGME49_251890	-1.6	2.26	2.95	1923.t000724, 50.m07077, TGME49_051890, TgGLEAN_7845, TgGlmHMM_1722, TgTigrScan_2342, TgTwinScan_4470, TgTwinScan_4471, mrna.TGME49_051890A, tigr:cds.TGME49_051890A	
TGME49_251900	-2.9	9.16	10.69	1923.t000725, 50.m07127, TGME49_051900, TgGLEAN_8301, TgTigrScan_2344, TgTwinScan_4472, mrna.TGME49_051900A, tigr:cds.TGME49_051900A	
TGME49_251910	-2.6	9.54	10.91	1923.t000726, 50.m03424, TGME49_051910, TgGLEAN_7843, TgGlmHMM_1722, TgTigrScan_2345, TgTwinScan_4473, mrna.TGME49_051910A, tigr:cds.TGME49_051910A	
TGME49_251920	-1.4	2.63	3.11	1923.t000727, 50.m03425, TGME49_051920, TgGLEAN_7842, TgGlmHMM_1723, TgTigrScan_2346, TgTwinScan_4474, mrna.TGME49_051920A, tigr:cds.TGME49_051920A	
TGME49_251930	-1.2	5.85	6.08	1923.t000728, 50.m00011, TGME49_051930, TgGLEAN_8302, TgGlmHMM_1724, TgTigrScan_2347, TgTwinScan_4475, mrna.TGME49_051930A, tigr:cds.TGME49_051930A	
TGME49_251940	-1.8	3.21	4.09	1923.t000729, 50.m07128, TGME49_051940, TgGLEAN_8303, TgGlmHMM_1725, TgTigrScan_2348, TgTwinScan_4476, mrna.TGME49_051940A, tigr:cds.TGME49_051940A	
TGME49_251950	1	6.16	6.15	1923.t000730, 50.m03428, TGME49_051950, TgGLEAN_8304, TgGlmHMM_1726, TgTigrScan_2349, TgTwinScan_4477, mrna.TGME49_051950A, tigr:cds.TGME49_051950A	
TGME49_251958	1.5	3.87	3.3	1923.t000731, TGME49_051960, TgGLEAN_7840, TgGLEAN_7841, TgGlmHMM_1727, TgTigrScan_2350, TgTigrScan_2351, TgTwinScan_4478, TgTwinScan_4479	
TGME49_251962	1.4	3.81	3.35	1923.t000732, 50.m03429, TGME49_051960, TgGLEAN_7840, TgGLEAN_7841, TgGlmHMM_1727, TgTigrScan_2350, TgTigrScan_2351, TgTwinScan_4478, TgTwinScan_4479, mrna.TGME49_051960A, tigr:cds.TGME49_051960A	
TGME49_252065	-1	0.95	1	1916.t000276, 52.m01527, 64.m00737, TGME49_052060, TGME49_052070, TGME49_075590, TgGLEAN_0848, TgGLEAN_1002, TgGlmHMM_3738, TgTigrScan_5452, TgTwinScan_1691, TgTwinScan_2868, mrna.TGME49_052060A, tigr:cds.TGME49_052060A	
TGME49_252070	-1.1	4.33	4.42	1916.t000277, TGME49_052070, TgGLEAN_1002, TgGlmHMM_3738, TgTigrScan_5452, TgTwinScan_2868, mrna.TGME49_052070A, tigr:cds.TGME49_052070A	
TGME49_252080	1.4	0.95	0.44	1916.t000278, TGME49_052080	
TGME49_252090	1.8	1.68	0.87	1916.t000279, TGME49_052090	
TGME49_252190	1.1	0.26	0.13	1916.t000275, 52.m03453, TGME49_052190, TgGLEAN_1000, TgGlmHMM_3738, mrna.TGME49_052190A, tigr:cds.TGME49_052190A	
TGME49_252200	1.1	3.2	3.06	1916.t000274, 52.m01529, TGME49_052200, TgGLEAN_1005, TgGLEAN_1006, TgGlmHMM_3739, TgTigrScan_5455, TgTigrScan_5456, TgTwinScan_2870, mrna.TGME49_052200A, tigr:cds.TGME49_052200A	
TGME49_252210	-1.3	3.05	3.45	1916.t000273, 52.m00015, TGME49_052210, TgGLEAN_0999, TgGlmHMM_3740, TgTigrScan_5457, TgTwinScan_2871, mrna.TGME49_052210A, tigr:cds.TGME49_052210A	
TGME49_252220	-1.2	7.1	7.3	1916.t000272, 52.m00012, TGME49_052220, TgGLEAN_1007, TgGlmHMM_3741, TgTigrScan_5459, TgTwinScan_2872, mrna.TGME49_052220A, tigr:cds.TGME49_052220A	
TGME49_252230	-1.3	4.75	5.16	1916.t000271, 52.m03455, TGME49_052230, TgGLEAN_1008, TgGlmHMM_3742, TgTigrScan_5460, TgTwinScan_2873, mrna.TGME49_052230A, tigr:cds.TGME49_052230A	
TGME49_252250	-1.4	1.96	2.4	1916.t000270, 52.m03471, TGME49_052250, TgGLEAN_0997, TgGlmHMM_3743, TgTigrScan_5461, mrna.TGME49_052250A, tigr:cds.TGME49_052250A	
TGME49_252255	-3.2	1.23	2.89	1916.t000269, TGME49_052255	
TGME49_252260	-4.1	0.8	2.82	1916.t000268, 52.m02676, TGME49_052260, TgGLEAN_0996, TgGlmHMM_3743, TgTigrScan_5462, TgTwinScan_2876, mrna.TGME49_052260A, tigr:cds.TGME49_052260A	
TGME49_252270	-1.4	3.55	4.06	1916.t000267, 52.m01535, TGME49_052270, TgGLEAN_1011, TgGlmHMM_3744, TgTigrScan_5463, TgTigrScan_5464, TgTwinScan_2877, mrna.TGME49_052270A, tigr:cds.TGME49_052270A	
TGME49_252280	-1.5	1.99	2.56	1916.t000266, 52.m01536, TGME49_052280, TgGLEAN_0994, TgGLEAN_0995, TgGlmHMM_3745, TgTigrScan_5465, TgTwinScan_2878, mrna.TGME49_052280A, tigr:cds.TGME49_052280A	
TGME49_252290	-1.3	5.9	6.26	1916.t000265, 52.m00001, TGME49_052290, TgGLEAN_1012, TgGlmHMM_3746, TgTigrScan_5467, TgTwinScan_2879, mrna.TGME49_052290A, tigr:cds.TGME49_052290A	
TGME49_252295	-1.3	5.64	5.97	1916.t000264, TGME49_052295	
TGME49_252300	-2.8	5.18	6.69	1916.t000263, 52.m01538, TGME49_052300, TgGLEAN_0993, TgGlmHMM_3747, TgTigrScan_3230, TgTwinScan_2880, mrna.TGME49_052300A, tigr:cds.TGME49_052300A	
